4a. ZE - SÃO PAULO - MOÓCA;COLÉGIO AGOSTINIANO SÃO JOSÉ;RUA MARQUES DE ABRANTES, 365;SÃO PAULO;Da 292ª à 302ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;COLÉGIO NOSSA SENHORA DE LOURDES;RUA AURELIANO LESSA, 159;SÃO PAULO;Da 170ª à 174ª;; 425ª; 434ª;" "",""434ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;COLÉGIO PRESBITERIANO DO BRÁS;RUA SÃO LEOPOLDO, 326;SÃO PAULO;Da 256ª à 276ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;COLÉGIO SANTA CATARINA;RUA MARQUÊS DE VALENÇA, 641;SÃO PAULO;341ª;; 362ª; 367ª; Da 372ª à 373ª; 377ª; 380ª; 383ª; 386ª; 389ª; 393ª; 396ª; 399ª; 402ª; 405ª; 424ª; 426ª; 432ª;" "",""341ª"; 424ª;" """;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;COLÉGIO SÃO JUDAS TADEU;RUA CLARK, 213;SÃO PAULO;Da 48ª à 62ª;;" "",""49ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;CONJUNTO EDUC. E ASSISTENCIAL ANTÔNIO DEVISATE - SESI;RUA CATUMBI, 318;SÃO PAULO;Da 282ª à 291ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. DR. ANTÔNIO DE QUEIROZ TELLES;RUA ITAQUERI, 372;SÃO PAULO;Da 63ª à 77ª.;64ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. GIANFRANCESCO GUARNIERI;RUA ITAPIRA, 183;SÃO PAULO;Da 16ª à 22ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. GUERINO RASO;RUA SERRA DA BOCAINA, 126;SÃO PAULO;Da 246ª à 255ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. ISAÍ LEIRNER;RUA PLÁCIDO DE CASTRO, 221;SÃO PAULO;Da 208ª à 214ª;;" "",""384ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PANDIÁ CALÓGERAS;AV. PAES DE BARROS, 1025;SÃO PAULO;Da 110ª à 125ª.;122ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PLÍNIO BARRETO;RUA SIQUEIRA BUENO, 2123;SÃO PAULO;Da 78ª à 92ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PROF. ANDRÉ XAVIER GALLICHO;RUA DA MOOCA, 4650;SÃO PAULO;Da 136ª à 152ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PROF. ANTONIO FIRMINO DE PROENÇA;RUA DA MOOCA, 363;SÃO PAULO;Da 1ª à 15ª.;3ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PROF. THEODORO DE MORAES;AV. REGENTE FEIJÓ, 586;SÃO PAULO;Da 175ª à 182ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PROF. WOLNY CARVALHO RAMOS;RUA BOM JESUS, 909;SÃO PAULO;Da 183ª à 196ª;;" "",""316ª"; 335ª; 409ª;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EE. PROFA. ANNA TEIXEIRA PRADO ZACHARIAS;RUA PAULINA, 149;SÃO PAULO;Da 225ª à 234ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EMEF. EMILIANO DI CAVALCANTI;RUA ALMIRANTE  ALEXANDRINO, 541;SÃO PAULO;Da 197ª à 207ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EMEF. LEONOR MENDES DE BARROS;RUA RAIMUNDO CORREIA, 5;SÃO PAULO;Da 215ª à 224ª;;" "",""318ª"; 340ª;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;ESCOLA ESTADUAL M.M.D.C.;RUA CUIABÁ, 667;SÃO PAULO;Da 93ª à 109ª;; 407ª; 412ª;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;ETE. PROF. CAMARGO ARANHA;RUA BRESSER, 2909;SÃO PAULO;Da 31ª à 47ª;; 397ª;" "",""34ª";" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4a. ZE - SÃO PAULO - MOÓCA;EXTERNATO NOSSA SENHORA MENINA;RUA DO ORATÓRIO, 2621;SÃO PAULO;Da 153ª à 169ª;; 414ª;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
